Name of the document,Institution,URL,Authors,Affiliates,Sector,Country,Date,Keywords,Exclusion criteria,Status,Label,MapAIE (ours),Jobin,Fjeld,Tidjon,Hagendorff,Floridi,Zeng (LAIP),Attard-Frost,EP,Algorithm watch,CE,Winfield,EthicalML GitHub,all sources,Checked by,,,
Everyday Ethics for Artificial Intelligence. A practical guide for designers & developers,IBM,https://www.ibm.com/watson/assets/duo/pdf/everydayethics.pdf,"Adam Cutler, Milena Pribić",,industry,USA,2022,,,included,,1,1,1,,1,,1,1,,1,1,1,,8,Mel,,,
IBM’s Principles for Trust and Transparency,IBM,https://www.ibm.com/policy/trust-principles/,,,industry,USA,2018-05-30,,,included,issue-specific,1,1,,,,,1,,,1,1,,,4,Mel,,,
Transparency and Trust in the Cognitive Era,IBM,https://www.ibm.com/blogs/think/2017/01/ibm-cognitive-principles/,,,,,,,,not included,not AI,0,,,,,,1,,,,,,,1,Tiphaine,,,
Trusted AI (AI Explainability 360 Open Source Toolkit),IBM,https://www.research.ibm.com/artificial-intelligence/trusted-ai/,,,,USA,,,,not included,not accessible,0,,,,,,,,,1,1,,,2,Tiphaine,,,
Ethics policy,Icelandic Institute for Intelligent Machines (IIIM),http://www.iiim.is/ethics-policy/,,,,Iceland,,,,Not included,not AI,0,1,,,,,,,,1,1,,,3,Tiphaine,,,
AI needs an ethical compass. This tool can help,IDEO,https://www.ideo.com/blog/ai-needs-an-ethical-compass-this-tool-can-help,,,,USA,,,,included,,1,,,,,,,,,,1,,,1,Mel,,,
Ethical Design Manifesto,ind.ie,https://ind.ie/ethical-design/,,,,Sweden,,,,not included,not AI ethics,0,,,,,,,,,,1,,,1,Mel,,,
Use of Biometric Data and Technologies,Independent Advisory Group (IAG) on the Use of Biometric Data (Scotland),https://www2.gov.scot/About/Review/biometric-data new url https://www.gov.scot/publications/report-independent-advisory-group-use-biometric-data-scotland/,,,,UK,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Ethics and Human Rights,India Government,https://indiaai.gov.in/research-reports/responsible-ai-part-1-principles-for-responsible-ai,,,,India,,,,Not included,not accessible,0,,,1,,,,,,,,,,1,Maria,,,
2020 Handbook on AI and International Law,Indian Society of Artificial Intelligence and Law (ISAIL),https://issuu.com/indiansocietyai/docs/2020_handbook_on_artificial_intelligence_and_inter,,,,India,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Guidance on AI and data protection,Information Commissioner Office,https://ico.org.uk/for-organisations/guide-to-data-protection/key-dp-themes/guidance-on-artificial-intelligence-and-data-protection/ new url https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/guidance-on-ai-and-data-protection/,,,,UK,,,,Included,issue-specific,1,,,1,,,,,,,1,,,2,Maria,,,
Guidance on the AI auditing framework,Information Commissioner Office,https://ico.org.uk/media/2617219/guidance-on-the-ai-auditing-framework-draft-for-consultation.pdf,,,,UK,,,,not included,not final,0,,,1,,,,,,,,,,1,Maria,,,
"Big data, artificial intelligence, machine learning and data protection",Information Commissioner's Office,https://ico.org.uk/media/for-organisations/documents/2013559/big-data-ai-ml-and-data-protection.pdf,,,,UK,,,,Included,SPI,1,1,,,,,,,,,1,,,2,Maria,,,
Big Data and the insurance sector,Information Commissioner’s Office (ICO - United Kingdom),https://ico.org.uk/about-the-ico/news-and-events/news-and-blogs/2017/03/blog-big-data-and-the-insurance-sector/,,,,UK,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Maria,,,
Guidance on political campaigning,Information Commissioner’s Office (United Kingdom),https://ico.org.uk/media/for-organisations/documents/1589/promotion_of_a_political_party.pdf,,,,UK,,,,not included,not AI,0,,,,,,,,,,1,,,1,Tiphaine,,,
Explaining decisions made with AI,"Information Commissioner’s Office, The Alan Turing Institute (United Kingdom)",https://ico.org.uk/media/for-organisations/guide-to-data-protection/key-dp-themes/explaining-decisions-made-with-artificial-intelligence-1-0.pdf,,,,UK,,,,included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Tiphaine,,,
AI Policy Principles,Information Technology Industry (ITI) Council,https://www.itic.org/public-policy/ITIAIPolicyPrinciplesFINAL.pdf new doc https://www.itic.org/documents/artificial-intelligence/ITI_GlobalAIPrinciples_032321_v3.pdf,.,.,industry,USA,2017,,,Included,SPI,1,1,1,,1,,1,1,,1,1,,,7,Maria,,,
Information on processing and access to geolocation data,Inspector General for the Protection of Personal Data (Poland),http://www.giodo.gov.pl/pl/1520297/10068,,,,Poland,,,,Not included,not accessible,0,,,,,,,,,,1,,,1,Maria,,,
Draft AI R&D Guidelines for International Discussions,"Institute for Information and Communications Policy (IICP), The Conference toward AI Network Society",https://www.soumu.go.jp/main_content/000507517.pdf,,,,Japan,,,,not included,not final,0,1,,,,,,,,1,1,,,3,Mel,,,
Draft AI Utilization Principles,"Institute for Information and Communications Policy (IICP), The Conference toward AI Network Society",https://www.soumu.go.jp/main_content/000581310.pdf,,,,Japan,,,,not included,not final,0,,,,,,1,,,,,,,1,Mel,,,
Policy Briefing: Algorithmic Impact Assessments,Institute for the Future of Work,https://global-uploads.webflow.com/5f57d40eb1c2ef22d8a8ca7e/62349d0fc097275eec2a930c_IFOW-AIA%20Policy%20Paper%20(v8-18.03.22).pdf,,,,UK,,,,Included,"SPI, digital",1,,,,,,,,,,1,,,1,Maria,,,
The New Frontier: Artificial intelligence at work,Institute for the Future of Work,https://global-uploads.webflow.com/5f57d40eb1c2ef22d8a8ca7e/62459a045de6afc1d9973bf4_The%20New%20Frontier%20-%20Artificial%20Intelligence%20at%20Work%5B4%5D.pdf,,,,UK,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Ethical OS Framework. A guide to anticipating the future impact of today’s technology,"Institute for the Future, Omidyar Networks Tech and Society Solutions Lab",https://ethicalos.org/wp-content/uploads/2018/08/Ethical-OS-Toolkit-2.pdf,"Jane McGonigal, Raina Kumra, Eshanthi Ranasinghe, Yoav Schlesinger, Randolph Wiggins",Digital Intelligence,"academia, civil society",USA,2018,,,Not included,not accessible,0,,,1,,,1,,,,1,,,3,Maria,,,
Business Ethics and Artificial Intelligence,Institute of Business Ethics,https://www.ibe.org.uk/uploads/assets/5f167681-e05f-4fae-ae1bef7699625a0d/ibebriefing58businessethicsandartificialintelligence.pdf,,,,UK,,,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
"Big Data: New Challenges for Law and Ethics, International scientific conference",Institute of Criminology at the Faculty of Law of Ljubljana,https://big-data-ljubljana-2017.weebly.com/uploads/1/1/9/1/1191873/big-data-2017-print.pdf,,,,Slovenia,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,"Maria, Simon, Tiphaine",,,
Ethical Aspects of Autonomous and Intelligent Systems,Institute of Electrical and Electronics Engineers (IEEE),http://globalpolicy.ieee.org/wp-content/uploads/2019/06/IEEE19002.pdf,,,,,,,,included,"SPI, digital, techno-specific",1,,,,,,1,,,,,,,1,Maria,,,
IEEE P7000 Standards Projects,Institute of Electrical and Electronics Engineers (IEEE),https://ethicsinaction.ieee.org/#set-the-standard,,,,USA,,,,not included,not prescriptive (tool),0,,,,,,,,,1,1,,,2,Tiphaine,,,
"Ethically Aligned Design. A Vision for Prioritizing Human Well-being with Autonomous and Intelligent Systems, version 2","Institute of Electrical and Electronics Engineers (IEEE), The IEEE Global Initiative on Ethics of Autonomous and Intelligent Systems",https://standards.ieee.org/wp-content/uploads/import/documents/other/ead_v2.pdf,.,.,civil society,international,2018,,,included,,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Mel,,,
Responsible AI in Consumer Enterprise,Integrate.ai,https://bruce2b.files.wordpress.com/2019/08/d3dd6-responsible2bai2bin2bconsumer2benterprise.pdf,,,,Canada,,,,included,,1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence. The Public Policy Opportunity,Intel Corporation,https://community.intel.com/legacyfs/online/files/Intel-Artificial-Intelligence-Public-Policy-White-Paper-2017.pdf,.,.,industry,USA,2017,,,included,,1,1,,,,,,,,1,1,,,3,Mel,,,
Intel’s AI Privacy Policy White Paper. Protecting individuals’ privacy and data in the artificial intelligence world,Intel Corporation,https://community.intel.com/legacyfs/online/files/Intels-AI-Privacy-Policy-White-Paper-2018.pdf,,,,USA,,,,included,SPI issue-specific,1,1,,,,,,,,1,1,,,3,Mel,,,
IA Ethics Self-Assessment for Actors of the Entrepreneurial Ecosystem,Inter-American Development Bank,https://publications.iadb.org/publications/english/document/Ethical-Assessment-of-AI-for-Actors-within-the-Entrepreneurial-Ecosystem-Application-Guide.pdf,,,,international,,,,Not included,tool,0,,,,,,,,,,,,,0,Mel,,,
Responsible use of AI for public policy: Data science toolkit,Inter-American Development Bank,https://publications.iadb.org/publications/english/document/Responsible-use-of-AI-for-public-policy-Data-science-toolkit.pdf,,,,international,,,,included,,1,,,,,,,,,,,,,0,Tiphaine,,,
Responsible use of AI for public policy: Project formulation manual,Inter-American Development Bank,https://publications.iadb.org/publications/english/document/Responsible-use-of-AI-for-public-policy-Project-formulation-manual.pdf,,,,international,,,,Not included,not ai ethics,0,,,,,,,,,,,,,0,Tiphaine,,,
Declaration on Ethics and Data Protection in Artificial Intelligence,International Conference of Data Protection and Privacy Commissioners (ICDPPC),http://globalprivacyassembly.org/wp-content/uploads/2018/10/20180922_ICDPPC-40th_AI-Declaration_ADOPTED.pdf,.,"Commission Nationale de l’Informatique et des Libertés (CNIL), France, European Data Protection Supervisor (EDPS), European Union, Garante per la protezione dei dati personali, Italy, Agencia de Acceso a la Información Pública, Argentina, Commission d’accès à l’information, Québec, Canada, Datatilsynet (Data Inspectorate), Norway, Information Commissioner’s Office (ICO), United Kingdom, Préposé fédéral à la protection des données et à la transparence, Switzerland, Data protection Authority, Belgium, Privacy Commissioner for Personal Data, Hong-Kong, Data protection Commission, Ireland, Data Protection Office, Poland, Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales (INAI), Mexico, National Authority for Data Protection and Freedom of Information, Hungary, Federal Commissioner for Data Protection and Freedom of Information, Germany, Office of the Privacy Commissioner (OPC), Canada, National Privacy Commission, Philippines",national authority,international,2018-10-23,mixed countries,,included,,1,1,,,,,1,,,1,1,,,4,Mel,,,
Beijing Artificial Intelligence Principles,International Research Center for AI Ethics and Governance,https://ai-ethics-and-governance.institute/beijing-artificial-intelligence-principles/,.,"Bejing Academy of Artificial Intelligence, Peking University, Tsinghua University, Institute of Automation in Chinese Academy of Sciences, Institute of Computing Technology in Chinese Academy of Sciences, Baidu, Alibaba, Tencent",civil society,China,2019,,,included,,1,,1,,1,,1,1,,1,1,,1,7,Mel,,,
Working Paper on Privacy and Artificial Intelligence,International Working Group on Data Protection on Telecommunications,https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/publikationen/working-paper/2018/2018-IWGDPT-Working_Paper_Artificial_Intelligence.pdf new url https://www.datenschutz-berlin.de/fileadmin/user_upload/pdf/publikationen/berlin-group/2018/2018-IWGDPT-Working_Paper_Artificial_Intelligence.pdf,,,,international,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Global opinion and expectations about AI,Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2022-01/Global-opinions-and-expectations-about-AI-2022.pdf,,,,France,,,,not included,"not prescriptive (study), not accessible",0,,,,,,,,,,1,,,1,Tiphaine,,,
Standardization in the area of Artificial Intelligence (ISO/IEC JTC 1/SC 42),ISO,https://www.iso.org/committee/6794475.html,,,,Switzerland,,,,not included,not prescriptive (impact assessment),0,,,,,,,,,,1,,,1,Tiphaine,,,
Strategic Program on Artificiel Intelligence 2022-2024,Italian Government,https://assets.innovazione.gov.it/1637777513-strategic-program-aiweb.pdf,,,,Italy,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Responsible AI Policy Framework,ITechLaw,https://www.itechlaw.org/sites/default/files/ResponsibleAI_PolicyFramework.pdf new url https://www.itechlaw.org/sites/default/files/Responsible%20AI%202021%20Update%20eBook_0.pdf,,,,USA,,,,Included,SPI,1,,,,,,1,,,1,1,,,3,Maria,,,
"AI Strategy 2019 – AI for Everyone: People, Industries, Regions and Governments",Japanese Government,https://www8.cao.go.jp/cstp/english/outline_strategy_2022.pdf,,,,Japan,,,,not included,not in english (translation),0,,,,,,,,,,1,,,1,Tiphaine,,,
The Japanese Society for Artificial Intelligence Ethical Guidelines,Japanese Society for Artificial Intelligence,http://ai-elsi.org/wp-content/uploads/2017/05/JSAI-Ethical-Guidelines-1.pdf,.,.,civil society,Japan,2017,,,Not included,not accessible,0,1,,,,,1,,1,1,1,1,,6,Maria,,,
AI Ethics Kakao,Kakako Corp,https://www.kakaocorp.com/page/responsible/detail/algorithm?lang=ENG&tab=all,,,,South Korea,,,,Included,,1,,,,,,,,,1,1,,,2,Maria,,,
Blockchain & Artificial Intelligence task force,Kenyan Government,https://kenyanwallstreet.com/kenya-govt-unveils-11-member-blockchain-ai-taskforce-headed-by-bitange-ndemo/,,,,Kenya,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
"9 Theses on opportunities and risks, democratic legitimation and constitutional control in the algorithmization of administration - 9 Thesen zu Chancen und Risiken, demokratischer Legitimation und rechtsstaatlicher Kontrolle bei der Algorithmisierung der Verwaltung",KI + VERWALTUNG,https://www.zukunft-der-verwaltungsgerichtsbarkeit.de/media/pages/ki-und-verwaltung/709898829-1580462498/9-theses-en.pdf,,,,Germany,,,,not included,not in english,0,,,,,,,,,,1,,,1,Tiphaine,,,
Hambacher Erklärung zur Künstlichen Intelligenz – Sieben datenschutzrechtliche Anforderungen (Hambach Declaration on Artificial Intelligence – seven requirements for data protection),Konferenz der unabhängigen Datenschutzaufsichtsbehörden des Bundes und der Länder (Conference of the independent data protection supervisory authorites in Germany),https://www.datenschutz.rlp.de/fileadmin/lfdi/Konferenzdokumente/Datenschutz/DSK/Entschliessungen/097_Hambacher_Erklaerung.pdf,,,,Germany,,,,not included,not in english,0,,,,,,,,,1,,,,1,Tiphaine,,,
Analysis of current global AI developments with a focus on Europe,Konrad-Adenauer-Stiftung,https://www.kas.de/documents/252038/7995358/Analysis+of+current+global+AI+developments+with+a+focus+on+Europe.pdf/da00b869-cc82-03e4-a45d-b74357fdd9c1?version=1.0&t=1606820629157,,,,Germany,,,,included,SPI (study),1,,,,,,,,,,1,,,1,Tiphaine,,,
Comparison of National Strategies to Promote Artificial Intelligence - Part 1,Konrad-Adenauer-Stiftung,https://www.kas.de/documents/252038/4521287/Comparison+of+National+Strategies+to+Promote+Artificial+Intelligence+Part+1.pdf/397fb700-0c6f-88b6-46be-2d50d7942b83?version=1.1&t=1560500570070,,,,Germany,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Tiphaine,,,
Comparison of National Strategies to Promote Artificial Intelligence - Part 2,Konrad-Adenauer-Stiftung,https://www.kas.de/documents/252038/4521287/Comparison+of+National+Strategies+to+Promote+Artificial+Intelligence+Part+2.pdf/4c6f3a0d-beaa-09f3-1db4-c66467739653?version=1.1&t=1560500520623,,,,Germany,,,,not included,meta-analysis,0,,,,,,,,,,1,,,1,Tiphaine,,,
Trust in Artificial Intelligence: A Five Countries Study,"KPMG, University of Queensland",https://assets.kpmg.com/content/dam/kpmg/au/pdf/2021/trust-in-ai-multiple-countries.pdf,,,,Australia,,,,Included,"SPI, issue-specific",1,,,,,,,,,,1,,,1,Maria,,,
How the EU Can Achieve Legally Trustworthy AI: A Response to the European Commission’s Proposal for an Artificial Intelligence Act,"KU Leuven, University of Birmingham, University of Edimburgh",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3899991,,,,international,,,,not included,not prescriptive (comments on other texts),0,,,,,,,,,,1,,,1,Tiphaine,,,
Pacte pour une intelligence artificielle égalitaire entre les femmes et les hommes,Laboratoire de l'égalité,https://www.laboratoiredelegalite.org/le-pacte-pour-une-intelligence-artificielle-egalitaire-entre-les-femmes-et-les-hommes/,,,,France,,,,not included,not in english,0,,,,,,,,,,1,,,1,Tiphaine,,,
Certification of processes for AI,Laboratoire National de métrologie et d'Essai (LNE - France),https://www.lne.fr/en/service/certification/certification-processes-ai,,,,France,,,,Not included,tool,0,,,,,,,,,,1,,,1,Tiphaine,,,
Civil Rights Principles for the Era of Big Data,Leadership Conference on Civil and Human Rights,https://civilrights.org/2014/02/27/civil-rights-principles-era-big-data/,,,,USA,,,,included,digital,1,,,,,,,,,,1,,,1,Mel,,,
Ethics Framework,Machine Intelligence Garage Ethics Committee,https://futurescope.digicatapult.org.uk/wp-content/uploads/2023/04/DC_AI_Ethics_Framework-2021.pdf,,,,UK,,,,included,,1,1,,,,,,,,1,0,,,2,Mel,,,
The Ethics of Artifical Intelligence,Machine Intelligence Research Institute,https://intelligence.org/files/EthicsofAI.pdf,,,,USA,,,,included,,1,,,,,,,,,1,,,,1,Tiphaine,,,
AI Certification Programme,Malta Digital Innovation Authority,https://mdia.gov.mt/wp-content/uploads/2020/07/itas-sandbox-consultation-document-v1.0.pdf,,,,Malta,,,,not included,"not ai, not ai ethics",0,,,,,,,,,,1,,,1,Tiphaine,,,
Ethical Toolkit for Engineering/Design Practice,Markkula Center,https://www.scu.edu/ethics-in-technology-practice/ethical-toolkit/,,,,USA,,,,Not included,not AI ethics,0,,,1,,,,,,,,,,1,Mel,,,
MIT Schwarzman College of Computing Task Force Working Group on Social Implications and Responsibilities of Computing Final Report,Massachusetts Institute of Technology,http://web.mit.edu/comptfreport/sirc.pdf,,,,USA,,,,Not included,not AI ethics,0,,,,,,,,,1,1,,,2,Mel,,,
The State of AI 2022,Mc Kinsey,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-in-2022-and-a-half-decade-in-review,,,,USA,,,,Not included,not AI ethics,0,,,,,,,,,,1,,,1,Maria,,,
Facial Recognition Principles,Microsoft,https://blogs.microsoft.com/on-the-issues/2018/12/06/facial-recognition-its-time-for-action/,,,,USA,,,,included,techno-specific,1,,,,,,,,,1,1,,,2,Mel,,,
Guidelines for Human-AI Interaction,Microsoft,https://www.microsoft.com/en-us/research/uploads/prod/2019/01/Guidelines-for-Human-AI-Interaction-camera-ready.pdf,,,,USA,,,,included,SPI issue-specific,1,,,,,,,,,,,,,0,Mel,,,
Joint insurance industry point of view paper: We need rules of the road for responsible AI and data science,Microsoft,https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWFKCm,,,,USA,,,,Not included,Not cited,0,,,,,,,,,,,,,0,Maria,,,
Research Collection: Research Supporting Responsible AI,Microsoft,https://www.microsoft.com/en-us/research/blog/research-collection-research-supporting-responsible-ai/,,,industry,USA,2020-04-13,,,included,,1,,,,,,,,,,,,,0,Mel,,,
Principles & approaches,Microsoft,https://www.microsoft.com/en-us/ai/principles-and-approach?activetab=pivot1:primaryr5,,,industry,USA,,,,included,,1,1,1,,1,,1,,,1,1,,,6,Mel,,,
Responsible bots: 10 guidelines for developers of conversational AI,Microsoft,https://www.microsoft.com/en-us/research/uploads/prod/2018/11/Bot_Guidelines_Nov_2018.pdf,,,industry,USA,,,,included,field-specific,1,1,,,,,,,,1,1,1,,4,Tiphaine,,,
The Future Computed – Artificial intelligence and its role in society,Microsoft,https://news.microsoft.com/cloudforgood/_media/downloads/the-future-computed-english.pdf,,,,USA,,,,included,SPI,1,,,,,,,1,,1,1,,,3,Maria,,,
Inclusive Design,Microsoft Design,https://www.microsoft.com/design/inclusive/,,,,USA,,,,not included,not AI,0,,,,,,,,,,,,,0,Tiphaine,,,
Indonesia National Strategy on AI (Stranas KA),Minister of Research and Technology of Indonesia,https://ai-innovation.id/server/static/ebook/stranas-ka.pdf.,,,,Indonesia,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Livre blanc de la sécurité intérieure,Ministère de l'intérieur (France),https://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Livre-blanc-de-la-securite-interieure?utm_source=POLITICO.EU&utm_campaign=4a2811137a-EMAIL_CAMPAIGN_2020_12_02_09_59&utm_medium=email&utm_term=0_10959edeb5-4a2811137a-190482161,,,,France,,,,Not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
Charter of Digital Rights,Ministerio de asuntos economicos y transformacion digital (Spain),https://portal.mineco.gob.es/RecursosArticulo/mineco/ministerio/participacion_publica/audiencia/ficheros/Charter%20of%20Digital%20Rights.pdf,,,,Spain,,,,not included,not final,0,,,,,,,,,,1,,,1,Mel,,,
Artificial Intelligence: Problems and Solutions - 2018,Ministry of Defense of the Russian Federation,http://mil.ru/conferences/is-intellekt.htm.,,,,Russia,,,,Not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
AI Strategy of Ukraine,Ministry of Digital Transformation (Ukraine),https://thedigital.gov.ua/news/mikhaylo-fedorov-rozvivayuchi-sferu-shtuchnogo-intelektu-mi-zabezpechuemo-konkurentospromozhnist-ukraini-na-mizhnarodnomu-rinku?fbclid=IwAR0HilGr0J-yptpdAO1J6EhmFv50LcsloiwjJba--inpyawI-mnpQToWK68,,,,Ukraine,,,,Not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
AI Development Policy in Poland,Ministry of Digitisation (Poland),https://www.gov.pl/attachment/a8ea194c-d0ce-404e-a9ca-e007e9fbc93e,,,,Poland,,,,Not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
Assumptions for the AI strategy in Poland Action plan of the Ministry of Digitization - Założenia do strategii AI w Polsce Plan działań Ministerstwa Cyfryzacji,Ministry of Digitisation (Poland),https://www.gov.pl/web/cyfryzacja/sztuczna-inteligencja-polska-2118,,,,Poland,,,,not included,"not in english, not prescriptive",0,,,,,,,,,,1,,,1,Tiphaine,,,
Dutch digitalisation strategy,Ministry of Economic Affairs and Climate Policy (Netherlands),https://www.nederlanddigitaal.nl/binaries/nederlanddigitaal-nl/documenten/publicaties/2019/09/30/english-version-of-the-dutch-digitalisation-strategy/Nederlandse_Digitaliseringsstrategie_ENG.pdf,,,,Netherlands,,,,not included,not ai ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Strategic Action Plan for Artificial Intelligence,Ministry of Economic Affairs and Climate Policy (Netherlands),https://knowledge4policy.ec.europa.eu/sites/default/files/netherlands-ai-strategy-report.pdf,,,,Netherlands,,,,included,,1,,,,,,,,,,1,,,1,Tiphaine,,,
"Work in the age of artificial intelligence. Four perspectives on the economy, employment, skills and ethics",Ministry of Economic Affairs and Employment,https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/160980/TEMjul_21_2018_Work_in_the_age.pdf?sequence=1&isAllowed=y,,,,Finland,,,,Included,"SPI, field-specific",1,1,,,,,,,,1,1,,,3,Maria,,,
Artificial intelligence programme,Ministry of Economic Affairs and Employment (Finland),https://tem.fi/en/artificial-intelligence-programme,,,,Finland,,,,Not included,not accessible,0,,,,,,,,,,1,,,1,Maria,,,
"Artificial Intelligence Work: Four perspectives on economics, employment, knowledge and ethics - Tekoälyajan työ: neljä näkökulmaa talouteen, työllisyyteen, osaamiseen ja etiikkaan",Ministry of Economic Affairs and Employment (Finland),https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/160980/TEMjul_21_2018_Work_in_the_age.pdf,,,,Finland,,,,Included,"SPI, field-specific",1,,,,,,,,,,1,,,1,Maria,,,
Finland’s Age of Artificial Intelligence,Ministry of Economic Affairs and Employment (Finland),http://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/160391/TEMrap_47_2017_verkkojulkaisu.pdf,,,,Finland,,,,Not included,not ai ethics,0,,,,,,,,,,1,,,1,Tiphaine,,,
Leading the way into the age of artiﬁcial intelligence,Ministry of Economic Affairs and Employment (Finland),http://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161688/41_19_Leading%20the%20way%20into%20the%20age%20of%20artificial%20intelligence.pdf,,,,Finland,,,,included,SPI (strategy),1,,,,,,,,,,1,,,1,Tiphaine,,,
AI National Strategy,Ministry of economic development (Italy),https://www.mise.gov.it/images/stories/documenti/Strategia-Nazionale-Intelligenza-Artificiale-Bozza-Consultazione.pdf,,,,Italy,,,,not included,"not in english, not prescriptive",0,,,,,,,,,,1,,,1,Tiphaine,,,
Governance Guidelines for Implementation of AI Principles,"Ministry of Economy, Trade and Industry (Japan)",https://www.meti.go.jp/shingikai/mono_info_service/ai_shakai_jisso/pdf/20220128_2.pdf,,,,Japan,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,,,
Strategy for the Development of AI in the Republic of Serbia for the period of 2020-2025,"Ministry of Education, Science and Technological Development (Serbia)",https://www.srbija.gov.rs/tekst/en/149169,,,,Serbia,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
"Governmental strategy, For a sustainable digitized Sweden-a digitization strategy",Ministry of Enterprise and Innovation (Sweden),http://www.regeringen.se/49adea/contentassets/5429e024be6847fc907b786ab954228f/digitaliseringsstrategin_slutlig_170518-2.pdf,,,,Sweden,,,,Not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
Aurora AI,Ministry of Finance (Finland),https://vm.fi/en/auroraai-en,,,,Finland,,,,not included,not accessible,0,,,,,,,,,,1,,,1,Tiphaine,,,
National Strategy for Artificial Intelligence,"Ministry of Finance and Ministry of Industry, Business and Financial Affairs (Danemark)",https://en.digst.dk/media/19337/305755_gb_version_final-a.pdf,,,,Denmark,,,,Included,SPI,1,,,,,,,,,,1,,,1,Maria,"whole doc = not prescriptive, but need to crawl Initiative 1.1: Ethical principles for artificial intelligence",,
Three-Year Action Plan for Promoting Development of a New Generation Artificial Intelligence Industry,Ministry of Industry and Information Technology (MIIT) (China),https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-government-outlines-ai-ambitions-through-2020/,,,,China,,,,not included,not in english (translation),0,,,,,,,,,,1,,,1,Tiphaine,,,
National Artificial Intelligence Strategy of the Czech Republic,Ministry of Industry and Trade of Czech Republic,https://www.mpo.cz/assets/en/guidepost/for-the-media/press-releases/2019/5/NAIS_eng_web.pdf.,,,,Czech Republic,,,,included,SPI (strategy),1,,,,,,,,,,1,,,1,Tiphaine,,,
G20 AI Principles,Ministry of Internal Affairs and Communications,https://www.mofa.go.jp/policy/economy/g20_summit/osaka19/pdf/documents/en/annex_08.pdf,,,national authority,Japan,2019,,,included,,1,,1,,,,,,,,,,,1,Mel,,,
How to strengthen personal integrity,Ministry of Justice (Sweden),http://www.regeringen.se/4ac6ee/contentassets/56e701d354824bcb9826ea0839ab28f3/sa-starker-vi-den-personliga-integriteten-sou-201752,,,,Sweden,,,,Not included,not accessible,0,,,,,,,,,,1,,,1,Maria,,,
AI National Strategy,Ministry of Local Government and Modernisation (Norway),https://www.regjeringen.no/contentassets/1febbbb2c4fd4b7d92c67ddd353b6ae8/en-gb/pdfs/ki-strategi_en.pdf,,,,Norway,,,,included,SPI (strategy),1,,,,,,,,,,1,,,1,Tiphaine,,,
Artificial Intelligence National Policy of Chile,"Ministry of Science, Technology, Knowledge and Innovation of Chile",https://www.minciencia.gob.cl/uploads/filer_public/bc/38/bc389daf-4514-4306-867c-760ae7686e2c/documento_politica_ia_digital_.pdf,,,,Chile,,,,Not included,not in english,0,,,,,,,,,,1,,,1,Mel,,,
For a meaningful Artificial Intelligence. Towards a French and European strategy,Mission Villani,https://www.jaist.ac.jp/~bao/AI/OtherAIstrategies/MissionVillani_Report_ENG-VF.pdf,,,,France,,,,included,SPI,1,1,,,,,,,,1,1,,,3,Mel,,,
